model,best_params,cv_f1_macro,val_accuracy,val_f1_macro,val_precision_macro,val_recall_macro,val_critical_recall_min,train_seconds
xgb,"{""clf__max_depth"": 6, ""clf__learning_rate"": 0.1}",,0.9356388088376562,0.9437169895333358,0.9450906960547314,0.9441899323141849,0.8837209302325582,15251.6
mlp,"{""clf__alpha"": 0.001}",,0.8924111431316042,0.8983234485985147,0.888741099767759,0.9145137348640331,0.8333333333333334,209.0
rf,"{""clf__max_depth"": null, ""clf__min_samples_leaf"": 1}",,0.8876080691642652,0.8756694525686981,0.9342308477019843,0.8409263441813511,0.5,950.8
